GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ECICredit,edu.eci.cvds.parcial.ECICredit,EciCreditApplication,5,3,0,0,2,1,1,1,1,1
ECICredit,edu.eci.cvds.parcial.ECICredit.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
ECICredit,edu.eci.cvds.parcial.ECICredit.config,CorsConfig.new WebMvcConfigurer() {...},0,37,0,0,0,5,0,2,0,2
ECICredit,edu.eci.cvds.parcial.ECICredit.controller,PaymentController,0,36,0,0,0,9,0,3,0,3
ECICredit,edu.eci.cvds.parcial.ECICredit.service.impl,ProductServiceImpl,12,3,0,0,3,1,2,1,2,1
ECICredit,edu.eci.cvds.parcial.ECICredit.service.impl,PaymentServiceImpl,4,97,0,2,1,16,1,7,1,6
ECICredit,edu.eci.cvds.parcial.ECICredit.models.enums,PaymentStatus,0,15,0,0,0,3,0,1,0,1
ECICredit,edu.eci.cvds.parcial.ECICredit.models,Product,0,6,0,0,0,3,0,1,0,1
ECICredit,edu.eci.cvds.parcial.ECICredit.models,Tuple,0,21,0,0,0,8,0,4,0,4
ECICredit,edu.eci.cvds.parcial.ECICredit.models,DateUtils,3,10,0,0,1,2,1,2,1,2
ECICredit,edu.eci.cvds.parcial.ECICredit.models,PaymentRequest,0,12,0,0,0,5,0,1,0,1
ECICredit,edu.eci.cvds.parcial.ECICredit.models,Payment,0,18,0,0,0,7,0,1,0,1
